,Date,Open,High,Low,CloseClose price adjusted for splits.,Adj CloseAdjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
36,"Mar 19, 2025",584.28,592.32,574.77,584.06,584.06,"20,537,500"
37,"Mar 18, 2025",600.05,600.25,574.66,582.36,582.36,"20,297,700"
38,"Mar 17, 2025",607.46,613.10,598.00,604.90,604.90,"15,473,900"
39,"Mar 14, 2025",602.80,608.86,594.78,607.60,607.60,"12,364,500"
40,"Mar 13, 2025",620.25,620.50,586.51,590.64,590.11,"16,480,300"
41,"Mar 12, 2025",629.90,633.33,609.35,619.56,619.01,"15,747,000"
42,"Mar 11, 2025",595.05,614.93,593.33,605.71,605.17,"17,401,500"
43,"Mar 10, 2025",608.07,610.11,586.87,597.99,597.46,"21,999,900"
44,"Mar 7, 2025",625.37,634.79,600.61,625.66,625.10,"21,375,700"
45,"Mar 6, 2025",648.00,650.56,624.11,627.93,627.37,"13,446,500"
46,"Mar 5, 2025",641.00,659.50,637.66,656.47,655.89,"13,770,000"
47,"Mar 4, 2025",645.51,649.75,623.65,640.00,639.43,"21,495,200"
48,"Mar 3, 2025",673.68,681.25,650.84,655.05,654.47,"10,843,800"
49,"Feb 28, 2025",658.04,669.63,642.60,668.20,667.61,"17,534,200"
50,"Feb 27, 2025",682.45,688.65,657.57,658.24,657.65,"12,500,000"
51,"Feb 26, 2025",659.65,683.01,658.00,673.70,673.10,"14,488,700"
52,"Feb 25, 2025",665.97,668.00,641.86,657.50,656.92,"20,579,700"
53,"Feb 24, 2025",686.28,687.27,662.45,668.13,667.54,"15,677,000"
54,"Feb 21, 2025",696.58,703.87,682.36,683.55,682.94,"15,660,400"
55,"Feb 20, 2025",697.28,705.63,693.64,694.84,694.22,"12,587,400"
56,"Feb 19, 2025",704.10,707.00,695.39,703.77,703.14,"17,535,500"
57,"Feb 18, 2025",736.00,737.00,706.44,716.37,715.73,"21,938,700"
58,"Feb 14, 2025",726.14,740.91,725.62,736.67,736.02,"16,901,200"
59,"Feb 13, 2025",721.52,729.00,718.04,728.56,727.91,"12,569,100"
60,"Feb 12, 2025",715.30,727.10,712.60,725.38,724.74,"12,016,500"
61,"Feb 11, 2025",713.32,723.66,710.04,719.80,719.16,"12,998,000"
62,"Feb 10, 2025",718.56,721.20,711.33,717.40,716.76,"12,904,300"
63,"Feb 7, 2025",716.80,725.01,711.75,714.52,713.88,"16,427,100"
64,"Feb 6, 2025",705.88,718.90,703.50,711.99,711.36,"13,080,700"
65,"Feb 5, 2025",703.55,718.14,699.01,704.87,704.24,"17,778,200"
66,"Feb 4, 2025",702.50,707.71,691.61,704.19,703.56,"13,826,300"
67,"Feb 3, 2025",675.91,704.00,675.25,697.46,696.84,"21,415,700"
68,"Jan 31, 2025",691.00,705.30,685.58,689.18,688.57,"19,331,700"
69,"Jan 30, 2025",696.82,710.79,676.10,687.00,686.39,"29,322,900"
70,"Jan 29, 2025",675.00,681.05,665.67,676.49,675.89,"21,377,800"
71,"Jan 28, 2025",666.00,682.58,659.47,674.33,673.73,"20,950,100"
